"Date,AZN,DGE,BAE,BARC,BP,HSBC,LLOYDS,RR,SHEL,ULVR"
"01/07/2019,41.31,3372,494.4,152.52,557.9,661.8,57.23,294.23,65.2,4908.5"
"02/07/2019,41.71,3431,496.2,153.78,555.9,668.9,57.64,294.37,65.11,5016"
"03/07/2019,41.99,3482.5,496.8,154.98,546.3,671.5,58.26,299.79,64.68,5083"
"05/07/2019,40.94,3466.5,498,155.96,545.9,671.6,58.26,299.45,64.59,5062"
"08/07/2019,40.83,3426.5,494.6,157.22,542.5,672.5,57.83,296.43,64.42,5045"
"09/07/2019,40.74,3450.5,487.3,156.92,545.9,668.5,57.71,292.79,64.44,5061"
"10/07/2019,41.13,3451,487.9,156.44,546.4,670.7,57.79,293.41,65.24,5038"
"11/07/2019,40.45,3438.5,492.3,156.48,545.7,666.7,57.97,290.18,65.38,5022"
"12/07/2019,40.21,3434.5,493.3,157.94,545.8,664.5,57.76,289.5,65.06,4998.5"
"15/07/2019,40.22,3391,504.6,157.2,546,663.4,57.68,290.59,64.5,5003"
"16/07/2019,40.2,3401,508,156.78,542.1,667.2,57.85,292.52,63.82,5025"
"17/07/2019,40.34,3420,516.8,158.08,543.6,670.5,57.98,297.11,63.33,5091"
"18/07/2019,40.73,3438.5,518.6,155.78,528,664.3,57.69,298.56,63.13,5079"
"19/07/2019,40.12,3399.5,517.2,156.32,515.7,661.4,57.39,293.75,63.65,5065"
"22/07/2019,40.33,3387,523.2,155.62,517.7,662.7,56.79,296.22,63.9,5011"
"23/07/2019,40.58,3380,524,156.6,523,662.6,56.72,297.46,63.79,5030"
"24/07/2019,40.35,3407.5,530.6,160.1,527.3,670.9,57,301.03,63.17,5042"
"25/07/2019,42.66,3353.5,532.8,159.92,523.5,656.4,56.97,299.86,62.87,4998"
"26/07/2019,43.51,3240.5,532,159.54,523.6,655.1,56.77,297.87,63.02,4896"
"29/07/2019,44.39,3323,533.8,160.08,523,662.4,55.99,298.01,63.46,4899"
"30/07/2019,43.86,3412,539.8,160.82,527,666.4,56.18,304.39,63.8,5013"
"31/07/2019,43.41,3448.5,542.6,157.72,543.2,664.8,55.08,305.83,62.89,5039"
"01/08/2019,44,3443.5,548.6,154.08,545.7,656.7,53.33,295.81,58.78,4955.5"
"02/08/2019,44.28,3526,558,155.88,538.7,666,52.84,294.16,58.41,5007"
"05/08/2019,43.56,3443,544.8,153.16,526.9,646.1,51.26,284.28,57.07,4939.5"
"06/08/2019,43.62,3382,538.8,147.3,515.6,626.8,50.18,279.68,57.3,4868"
"07/08/2019,43.92,3353.5,536,147.24,507,627.9,50.24,260.46,57.07,4826"
"08/08/2019,44.14,3379,553.4,147.54,505.6,627.4,50.24,250.51,58.02,4863"
"09/08/2019,44.77,3362,569,145.92,502.9,634.3,49.76,265.47,57.3,4867"
"12/08/2019,44.36,3385,558.6,143.76,502.9,622,49.5,267.47,57.17,4874.5"
"13/08/2019,44.86,3424,553.4,141.48,500.8,611,48.74,258.13,57.7,4927.5"
"14/08/2019,43.81,3399.5,555.4,141.1,506.9,614.3,48.97,258.27,56.38,4907"
"15/08/2019,44.18,3407,549,138.76,498,602.2,48.68,258.06,55.09,4967"
"16/08/2019,44.34,3415.5,548.4,137.2,489.7,591.3,48.58,258.61,55.56,4976.5"
"19/08/2019,44.42,3452,549,139.82,490.2,597.2,49.65,258.75,56.06,5011"
"20/08/2019,44.62,3446,552.4,140.6,500.1,603.7,49.94,261.77,55.66,5091"
"21/08/2019,45.42,3443,550.6,138.48,493.35,596.9,49.72,263.9,56.24,5070"
"22/08/2019,45.41,3485.5,565,139.18,498.85,598.3,49.53,269.11,55.89,5117"
"23/08/2019,44.58,3421,549.8,139.32,494.45,593.7,49.71,261.29,55.13,5025"
"26/08/2019,44.83,3418,541.2,138.04,488,586.4,49.99,257.38,55.31,5010"
"27/08/2019,44.88,3444.5,541,136.68,488.05,580.9,49.76,256.9,54.95,5095"
"28/08/2019,44.8,3454.5,536.8,136.16,498.75,581.8,49.51,255.66,55.68,5136"
"29/08/2019,45.42,3490,543.8,137.54,502.9,591.5,49.81,258.82,55.7,5150"
"30/08/2019,45.03,3503.5,545.6,136.6,500.2,591.4,49.83,264.65,55.6,5196"
"03/09/2019,45.27,3591,555,137.54,503.8,594.9,50.32,265.54,55.27,5271"
"04/09/2019,45.34,3625.5,554.8,137.32,502.9,593.7,49.59,262.52,55.89,5324"
"05/09/2019,44.76,3610,557,137.36,507,604.1,49.6,263.9,55.74,5307"
"06/09/2019,44.74,3489,563.4,139.82,507,598.8,50.03,266.37,55.6,5179"
"09/09/2019,43.8,3458.5,572,140.1,501,601,50.04,270.07,56.26,5190"
"10/09/2019,43.27,3377.5,561.2,140.78,504.8,607,50.18,269.87,56.81,5063"
"11/09/2019,43.1,3330,568,147.68,512.7,613.6,52.32,279.48,56.5,4953.5"
"12/09/2019,42.9,3362.5,574.6,148.7,512.1,625.5,52.6,285.52,56.55,4962.5"
"13/09/2019,42.77,3381.5,571.4,148.7,504,626.2,51.94,284.55,56.87,5003"
"16/09/2019,42.51,3280.5,570.4,150.11,504.01,627.43,54.26,285.45,57.99,4910.5"
"17/09/2019,43.13,3236.5,576.6,153.48,524.6,618.6,54.12,276.46,58.09,4849.5"
"18/09/2019,43.57,3278.5,586,149.2,517,612,53.16,277.97,58.22,4937.5"
"19/09/2019,44.61,3269.5,588.2,148,515.1,609.6,52.99,275.56,58.31,4929"
"20/09/2019,45.18,3263.5,585.2,150.48,516.9,616,54.06,277.9,58.48,4920"
"23/09/2019,44.57,3222,571.6,151.54,521,615.6,55.51,272.06,58.5,4795"
"24/09/2019,45.17,3247.5,576,149.26,518.9,612.9,54.3,265.96,57.89,4867.5"
"25/09/2019,45.34,3259.5,561.6,147.04,511.1,611.3,53.5,266.09,57.83,4904.5"
"26/09/2019,45.47,3233,564.6,148.12,508.7,615.8,53.37,267.95,58.55,4861.5"
"27/09/2019,45.28,3282,572,149.14,514.3,619.2,53.59,269.59,59.11,4903"
"30/09/2019,44.57,3299.5,569.2,150.92,519.3,624.3,54.94,271.79,58.85,4917.5"
"01/10/2019,43.66,3333,570,150.4,515.8,624.6,54.12,271.93,58.39,4890"
"02/10/2019,42.46,3318.5,564.2,149.64,514.2,619.9,53.38,266.09,56.61,4892"
"03/10/2019,43.17,3218.5,544.6,144.32,492,603,51.6,253.94,56.99,4785.5"
